Weekday Month Day Time Year Something
Tue Dec 31 23:15:25 2019 +0100
Sun Jun 30 23:58:24 2019 +0200
Sun Dec 31 16:30:00 2017 +0100
Sat Dec 31 21:54:23 2016 +0100
Thu Jun 30 22:34:56 2016 +0200
Thu Dec 31 04:14:11 2015 +0100
Thu Jun 30 18:43:34 2011 +0200
Fri Jun 18 23:52:35 2010 +0200
Thu Dec 31 19:16:46 2009 +0100
Thu Nov 20 09:38:36 2008 +0100
Mon May 12 03:26:23 2008 +0200
Fri Oct 12 22:04:20 2007 +0200
Sat Jun 30 04:24:29 2007 +0200
Sat Dec 30 09:12:48 2006 +0100
Thu Jun 29 01:06:42 2006 +0200
Sat Dec 31 03:57:15 2005 +0100
